"Selector","Fitness","VS Buy Hold (%)","Win/Loss Ratio","# Trades/Day","Strategy","Order Type","Ending Balance ($)","Buy Hold ($)","# Wins","# Losses","Period","Min Periods","# Days","Full Parameters"
"binanceus.ETH-USD",2.2751838058324916,13.759190291624574,"Infinity",0.286,"trend_ema","taker",528.42009954,464.5076131303165,4,0,"73m",39,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":4,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":1.535629212862315,""markup_sell_pct"":-0.40673311056270967,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":39,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":37,""oversold_rsi_periods"":44,""period"":""73m"",""period_length"":""73m"",""profit_stop_enable_pct"":1,""profit_stop_pct"":16,""quarentine_time"":10,""rsi_periods"":44,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":15,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":18,""net_currency"":523.3021668344999,""start"":""202009192000""}"
"binanceus.ETH-USD",2.2430801369527256,12.154006847636278,"Infinity",0.143,"trend_ema","taker",525.17922642,468.266129032258,2,0,"81m",99,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":8,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":3.9956876189993995,""markup_sell_pct"":-0.05581953094572745,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":99,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":86,""oversold_rsi_periods"":38,""period"":""81m"",""period_length"":""81m"",""profit_stop_enable_pct"":7,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":38,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":7,""net_currency"":28.12038894969993,""start"":""202009192000""}"
"binanceus.ETH-USD",2.2361906228495654,11.80953114247828,"Infinity",0.071,"trend_ema","maker",523.56616337,468.266129032258,1,0,"81m",87,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":3,""buy_stop_pct"":4,""generations"":10,""markdown_buy_pct"":4.289480205227627,""markup_sell_pct"":1.1564627596722787,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":87,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":73,""oversold_rsi_periods"":48,""period"":""81m"",""period_length"":""81m"",""profit_stop_enable_pct"":16,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":28,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":7,""net_currency"":0.3651750183000555,""start"":""202009192000""}"
"binanceus.ETH-USD",2.0704082759169897,3.5204137958494974,"Infinity",0.071,"trend_ema","maker",484.75103444,468.266129032258,1,0,"81m",99,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":2,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":3.9956876189993995,""markup_sell_pct"":1.1564627596722787,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":99,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":86,""oversold_rsi_periods"":11,""period"":""81m"",""period_length"":""81m"",""profit_stop_enable_pct"":16,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":11,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":28,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":7,""net_currency"":2.290445202300063,""start"":""202009192000""}"
"binanceus.ETH-USD",1.6058848559507273,9.832843967178153,1,0.143,"trend_ema","taker",513.92318295,467.913935747287,1,1,"73m",99,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":9,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":1.535629212862315,""markup_sell_pct"":-0.05581953094572745,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":99,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":86,""oversold_rsi_periods"":44,""period"":""73m"",""period_length"":""73m"",""profit_stop_enable_pct"":7,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":44,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":15,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":7,""net_currency"":0.302961405199893,""start"":""202009192000""}"
"binanceus.ETH-USD",1.5992680189358819,9.38029220126869,"Infinity",0,"trend_ema","taker",500,457.12073897184246,0,0,"17m",50,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":0,""buy_stop_pct"":15,""generations"":10,""markdown_buy_pct"":3.5532409319906098,""markup_sell_pct"":-0.05581953094572745,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":50,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":23,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":18,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":500,""start"":""202009192000""}"
"binanceus.ETH-USD",1.5984706302052085,9.325755618703186,"Infinity",0,"trend_ema","taker",500,457.3487712665406,0,0,"49m",50,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":1,""buy_stop_pct"":15,""generations"":10,""markdown_buy_pct"":3.5532409319906098,""markup_sell_pct"":-0.16716220730634124,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":50,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":23,""oversold_rsi_periods"":48,""period"":""49m"",""period_length"":""49m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":18,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":500,""start"":""202009192000""}"
"binanceus.ETH-USD",1.5950292683149327,9.09038720973622,"Infinity",0,"trend_ema","taker",500,458.3355259695837,0,0,"73m",39,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":5,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":4.289480205227627,""markup_sell_pct"":-0.40673311056270967,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":39,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":23,""oversold_rsi_periods"":44,""period"":""73m"",""period_length"":""73m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":18,""quarentine_time"":10,""rsi_periods"":44,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":500,""start"":""202009192000""}"
"binanceus.ETH-USD",1.0362197505199577,3.6219750519957725,0,0.071,"trend_ema","maker",484.18535258,467.26126609442053,0,1,"17m",87,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":6,""buy_stop_pct"":4,""generations"":10,""markdown_buy_pct"":4.289480205227627,""markup_sell_pct"":1.9148077268855954,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":87,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":73,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":7,""profit_stop_pct"":20,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":33,""net_currency"":9.623335999999995,""start"":""202009192000""}"
"binanceus.ETH-USD",1.0362197505199577,3.6219750519957725,0,0.071,"trend_ema","maker",484.18535258,467.26126609442053,0,1,"17m",87,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":7,""buy_stop_pct"":30,""generations"":10,""markdown_buy_pct"":4.289480205227627,""markup_sell_pct"":1.9148077268855954,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":87,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":73,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":7,""profit_stop_pct"":19,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":33,""net_currency"":9.623335999999995,""start"":""202009192000""}"
