"Selector","Fitness","VS Buy Hold (%)","Win/Loss Ratio","# Trades/Day","Strategy","Order Type","Ending Balance ($)","Buy Hold ($)","# Wins","# Losses","Period","Min Periods","# Days","Full Parameters"
"binanceus.ETH-USD",2.292313558230689,14.615677911534444,"Infinity",0.286,"trend_ema","taker",532.39854974,464.5076131303165,4,0,"73m",39,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":6,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":1.535629212862315,""markup_sell_pct"":1.4256327698986846,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":39,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":74,""oversold_rsi_periods"":44,""period"":""73m"",""period_length"":""73m"",""profit_stop_enable_pct"":1,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":44,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":15,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":18,""net_currency"":18.43555771910019,""start"":""202009192000""}"
"binanceus.ETH-USD",2.2751838058324916,13.759190291624574,"Infinity",0.286,"trend_ema","taker",528.42009954,464.5076131303165,4,0,"73m",39,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":7,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":1.535629212862315,""markup_sell_pct"":-0.40673311056270967,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":39,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":37,""oversold_rsi_periods"":44,""period"":""73m"",""period_length"":""73m"",""profit_stop_enable_pct"":1,""profit_stop_pct"":16,""quarentine_time"":10,""rsi_periods"":44,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":15,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":18,""net_currency"":523.3021668344999,""start"":""202009192000""}"
"binanceus.ETH-USD",2.2430801369527256,12.154006847636278,"Infinity",0.143,"trend_ema","taker",525.17922642,468.266129032258,2,0,"81m",99,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":3,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":3.9956876189993995,""markup_sell_pct"":-0.05581953094572745,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":99,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":86,""oversold_rsi_periods"":38,""period"":""81m"",""period_length"":""81m"",""profit_stop_enable_pct"":7,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":38,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":7,""net_currency"":28.12038894969993,""start"":""202009192000""}"
"binanceus.ETH-USD",2.2207539422702145,11.037697113510736,"Infinity",0.071,"trend_ema","maker",519.95192604,468.266129032258,1,0,"81m",99,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":8,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":3.9956876189993995,""markup_sell_pct"":1.1564627596722787,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":99,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":86,""oversold_rsi_periods"":27,""period"":""81m"",""period_length"":""81m"",""profit_stop_enable_pct"":16,""profit_stop_pct"":17,""quarentine_time"":10,""rsi_periods"":27,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":28,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":7,""net_currency"":1.512589367399972,""start"":""202009192000""}"
"binanceus.ETH-USD",2.0704082759169897,3.5204137958494974,"Infinity",0.071,"trend_ema","maker",484.75103444,468.266129032258,1,0,"81m",99,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":2,""buy_stop_pct"":0,""generations"":10,""markdown_buy_pct"":3.9956876189993995,""markup_sell_pct"":1.1564627596722787,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":99,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":86,""oversold_rsi_periods"":11,""period"":""81m"",""period_length"":""81m"",""profit_stop_enable_pct"":16,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":11,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":28,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":7,""net_currency"":2.290445202300063,""start"":""202009192000""}"
"binanceus.ETH-USD",1.5992680189358819,9.38029220126869,"Infinity",0,"trend_ema","taker",500,457.12073897184246,0,0,"17m",50,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":4,""buy_stop_pct"":15,""generations"":10,""markdown_buy_pct"":3.5532409319906098,""markup_sell_pct"":-0.05581953094572745,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":50,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":23,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":18,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":500,""start"":""202009192000""}"
"binanceus.ETH-USD",1.5992680189358819,9.38029220126869,"Infinity",0,"trend_ema","taker",500,457.12073897184246,0,0,"17m",50,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":5,""buy_stop_pct"":4,""generations"":10,""markdown_buy_pct"":4.289480205227627,""markup_sell_pct"":-0.05581953094572745,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":50,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":23,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":18,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":3,""net_currency"":500,""start"":""202009192000""}"
"binanceus.ETH-USD",1.0552346345242745,5.523463452427452,0,0.071,"trend_ema","maker",483.6769739,458.3596463530155,0,1,"17m",87,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":9,""buy_stop_pct"":15,""generations"":10,""markdown_buy_pct"":3.9956876189993995,""markup_sell_pct"":1.1564627596722787,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":87,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":86,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":7,""profit_stop_pct"":18,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":28,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":23,""net_currency"":10.56723496739994,""start"":""202009192000""}"
"binanceus.ETH-USD",1.0362197505199577,3.6219750519957725,0,0.071,"trend_ema","taker",484.18535258,467.26126609442053,0,1,"17m",87,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":0,""buy_stop_pct"":4,""generations"":10,""markdown_buy_pct"":4.289480205227627,""markup_sell_pct"":1.9148077268855954,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":87,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""taker"",""oversold_rsi"":73,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":7,""profit_stop_pct"":20,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":33,""net_currency"":9.623335999999995,""start"":""202009192000""}"
"binanceus.ETH-USD",1.0362197505199577,3.6219750519957725,0,0.071,"trend_ema","maker",484.18535258,467.26126609442053,0,1,"17m",87,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":1,""buy_stop_pct"":4,""generations"":10,""markdown_buy_pct"":4.289480205227627,""markup_sell_pct"":1.9148077268855954,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":87,""neutral_rate"":""auto"",""order_poll_time"":5000,""order_type"":""maker"",""oversold_rsi"":73,""oversold_rsi_periods"":48,""period"":""17m"",""period_length"":""17m"",""profit_stop_enable_pct"":7,""profit_stop_pct"":20,""quarentine_time"":10,""rsi_periods"":48,""selector"":""binanceus.ETH-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""trend_ema"",""symmetrical"":false,""trend_ema"":33,""net_currency"":9.623335999999995,""start"":""202009192000""}"
