"Selector","Fitness","VS Buy Hold (%)","Win/Loss Ratio","# Trades/Day","Strategy","Order Type","Ending Balance ($)","Buy Hold ($)","# Wins","# Losses","Period","Min Periods","# Days","Full Parameters"
"binanceus.BTC-USD",2.103588355256586,5.179417762829304,"Infinity",0.143,"bollinger","maker",512.40108565,487.16858920575237,2,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":0,""bollinger_lower_bound_pct"":1.3514688992150314,""bollinger_size"":31,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.1225957122014298,""markup_sell_pct"":1.5672750968377347,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":19,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":25.94282364140014,""start"":""202009192000""}"
"binanceus.BTC-USD",2.0177106177297612,0.8855308864880517,"Infinity",0.071,"bollinger","taker",508.41053139,503.9479169337386,1,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":4,""bollinger_lower_bound_pct"":27.397031060964178,""bollinger_size"":35,""bollinger_time"":5.149901012289401,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":19,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":2.1098896920000634,""start"":""202009192000""}"
"binanceus.BTC-USD",2.0177106177297612,0.8855308864880517,"Infinity",0.071,"bollinger","taker",508.41053139,503.9479169337386,1,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":5,""bollinger_lower_bound_pct"":27.397031060964178,""bollinger_size"":35,""bollinger_time"":5.149901012289401,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":19,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":2.1098896920000634,""start"":""202009192000""}"
"binanceus.BTC-USD",2.017692110976014,0.8846055488007027,"Infinity",0.071,"bollinger","maker",508.40586817,503.9479169337386,1,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":8,""bollinger_lower_bound_pct"":17.162429955987406,""bollinger_size"":35,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":5,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":2.3126244218000593,""start"":""202009192000""}"
"binanceus.BTC-USD",2.0131104921463683,0.6555246073184126,"Infinity",0.071,"bollinger","taker",510.90117453,507.5739026974915,1,0,"86m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":3,""bollinger_lower_bound_pct"":17.162429955987406,""bollinger_size"":35,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""86m"",""period_length"":""86m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":5,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":1.8377034260000187,""start"":""202009192000""}"
"binanceus.BTC-USD",2.0097240632768942,0.4862031638447165,"Infinity",0.143,"bollinger","maker",506.39812765,503.9479169337386,2,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":1,""bollinger_lower_bound_pct"":17.162429955987406,""bollinger_size"":35,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.1225957122014298,""markup_sell_pct"":1.5672750968377347,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":19,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":9.952391238699988,""start"":""202009192000""}"
"binanceus.BTC-USD",1.5069145572593459,3.063872123851271,"Infinity",0,"bollinger","maker",500,485.13605174774807,0,0,"12m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":9,""bollinger_lower_bound_pct"":1.7178763909116581,""bollinger_size"":19,""bollinger_time"":2.3712023482030835,""bollinger_upper_bound_pct"":10.356029027540396,""buy_stop_pct"":16,""markdown_buy_pct"":3.9516253378607624,""markup_sell_pct"":2.252694311752826,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""12m"",""period_length"":""12m"",""profit_stop_enable_pct"":3,""profit_stop_pct"":20,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":41,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
"binanceus.BTC-USD",1.5053207506234534,2.954865357329268,"Infinity",0,"bollinger","taker",500,485.64970510585533,0,0,"90m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":7,""bollinger_lower_bound_pct"":27.397031060964178,""bollinger_size"":22,""bollinger_time"":5.149901012289401,""bollinger_upper_bound_pct"":28.92575138064544,""buy_stop_pct"":41,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""90m"",""period_length"":""90m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
"binanceus.BTC-USD",1.498402775752707,2.4817175773175535,"Infinity",0,"bollinger","taker",500,487.8919009361586,0,0,"33m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":6,""bollinger_lower_bound_pct"":27.397031060964178,""bollinger_size"":35,""bollinger_time"":5.149901012289401,""bollinger_upper_bound_pct"":28.92575138064544,""buy_stop_pct"":41,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""33m"",""period_length"":""33m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":5,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
"binanceus.BTC-USD",1.4949548085879367,2.245897407391353,"Infinity",0,"bollinger","taker",500,489.01717592421954,0,0,"86m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":2,""bollinger_lower_bound_pct"":17.162429955987406,""bollinger_size"":11,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":24.19143294665809,""buy_stop_pct"":18,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""86m"",""period_length"":""86m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
